type,sentence
TI,Some anchovies are fish.
TI,Some alligators are reptiles.
TI,Some eagles are birds.
TI,Some cats are mammals.
TI,Some wasps are insects.
TI,Some winkles are shellfish.
TI,Some carp are fish.
TI,Some crocodiles are reptiles.
TI,Some canaries are birds.
TI,Some horses are mammals.
TI,Some termites are insects.
TI,Some crabs are shellfish.
TI,Some cod are fish.
TI,Some chameleons are reptiles.
TI,Some crows are birds.
TI,Some dogs are mammals.
TI,Some cockroaches are insects.
TI,Some prawns are shellfish.
TI,Some haddocks are fish.
TI,Some iguanas are reptiles.
TI,Some owls are birds.
TI,Some pigs are mammals.
TI,Some caterpillars are insects.
TI,Some clams are shellfish.
TI,Some piranhas are fish.
TI,Some lizards are reptiles.
TI,Some sparrows are birds.
TI,Some elephants are mammals.
TI,Some ants are insects.
TI,Some oysters are shellfish.
TI,Some sharks are fish.
TI,Some geckoes are reptiles.
TI,Some peacocks are birds.
TI,Some sheep are mammals.
TI,Some flies are insects.
TI,Some lobsters are shellfish.
TI,Some salmon are fish.
TI,Some snakes are reptiles.
TI,Some parrots are birds.
TI,Some bears are mammals.
TI,Some mosquitoes are insects.
TI,Some langoustines are shellfish.
T2,Some fish are anchovies.
T2,Some reptiles are alligators.
T2,Some birds are eagles.
T2,Some mammals are cats.
T2,Some insects are wasps.
T2,Some shellfish are winkles.
T2,Some fish are carp.
T2,Some reptiles are crocodiles.
T2,Some birds are canaries.
T2,Some mammals are horses.
T2,Some insects are termites.
T2,Some shellfish are crabs.
T2,Some fish are cod.
T2,Some reptiles are chameleons.
T2,Some birds are crows.
T2,Some mammals are dogs.
T2,Some insects are cockroaches.
T2,Some shellfish are prawns.
T2,Some fish are haddocks.
T2,Some reptiles are iguanas.
T2,Some birds are owls.
T2,Some mammals are pigs.
T2,Some insects are caterpillars.
T2,Some shellfish are clams.
T2,Some fish are piranhas.
T2,Some reptiles are lizards.
T2,Some birds are sparrows.
T2,Some mammals are elephants.
T2,Some insects are ants.
T2,Some shellfish are oysters.
T2,Some fish are sharks.
T2,Some reptiles are geckoes.
T2,Some birds are peacocks.
T2,Some mammals are sheep.
T2,Some insects are flies.
T2,Some shellfish are lobsters.
T2,Some fish are salmon.
T2,Some reptiles are snakes.
T2,Some birds are parrots.
T2,Some mammals are bears.
T2,Some insects are mosquitoes.
T2,Some shellfish are langoustines.
T3,Some anchovies are reptiles.
T3,Some anchovies are birds.
T3,Some anchovies are mammals.
T3,Some anchovies are insects.
T3,Some anchovies are shellfish.
T3,Some alligators are fish.
T3,Some alligators are birds.
T3,Some alligators are mammals.
T3,Some alligators are insects.
T3,Some alligators are shellfish.
T3,Some eagles are fish.
T3,Some eagles are reptiles.
T3,Some eagles are mammals.
T3,Some eagles are insects.
T3,Some eagles are shellfish.
T3,Some cats are fish.
T3,Some cats are reptiles.
T3,Some cats are birds.
T3,Some cats are insects.
T3,Some cats are shellfish.
T3,Some wasps are fish.
T3,Some wasps are reptiles.
T3,Some wasps are birds.
T3,Some wasps are mammals.
T3,Some wasps are shellfish.
T3,Some winkles are fish.
T3,Some winkles are reptiles.
T3,Some winkles are birds.
